磁感应强度,,输出电压 U_out / mV ,
I_M/mA ,B/Gauss ,减小磁场,增大磁场
100,30.159,240,239
90,27.143,239,237
80,24.127,236,232
70,21.111,229,222
60,18.095,212,203
50,15.079,187,173.2
40,12.063,154,137.9
30,9.048,117.3,99.6
20,6.032,76.8,61.3
10,3.016,38.3,20.8
5,1.508,20.3,-7.4
0,0,0.7,3.6
-5,-1.508,-3.7,23.9
-10,-3.016,25.5,41.8
-20,-6.032,64,80.1
-30,-9.048,102.5,120.2
-40,-12.063,140.3,156.5
-50,-15.079,175.5,188.5
-60,-18.095,203,213
-70,-21.111,222,228
-80,-24.127,232,235
-90,-27.143,237,238
-100,-30.159,239,239
